lAboutText1	~1~ ~2~ (~3~ bit)
lTCMenuNameDescription	Per gli utenti di Total Commander (TC), visualizza un menù dinamico costruito con i preferiti aggiunti alla lista-cartelle di TC, che viene riportata nel, e richiamata dal, file wincdm.ini.`n`nImposta la posizione del file wincdm.ini nelle "Opzioni", tab "File Manager". Se era stato selezionato TC al momento dell'installazione di QAP, la lista-Cartelle è stata aggiunta automaticamente al tuo menù.
lTCWinCmdLocation	posizione di WinCmd.ini
lToolTipBuilding	Sto costruendo il menu...
lToolTipLoading	Sto caricando i Preferiti...
lToolTipRetrievingWebPageTitle	Sto recuperando il titolo della pagina web...
lToolTipSaving	Sto salvando i Preferiti...
lTooltipSnippetKeyWait	Premere {~1~} per continuare…
lTooltipSnippetWaitEnter	Invio
lTooltipSnippetWaitEscape	Esc
lTooltipSnippetWaitMacro	Premi "~1~" o "~2~" per eseguire la macro (aspettando ~3~ secondi o premi ~4~ per annullare)
lTooltipSnippetWaitSpace	Spazio
lTooltipSnippetWaitText	Seleziona il punto di inserimento e premi "~1~" o "~2~" per incollare lo snippet (aspettando ~3~ secondi o premi ~4~ per annullare)
lTrayTipInstalledDetail	~1~ per aprire Preferiti
lTrayTipInstalledTitle	~1~ ~2~ è pronto!
lUpdateButtonChangeLog	Vedi il log delle modifiche
lUpdateButtonDownloadPortable	Download del file zip Portabile
lUpdateButtonDownloadSetup	Download del file di Setup
lUpdateButtonRemind	Ricordamelo più tardi
lUpdateButtonSkipVersion	Salta questa versione
lUpdateButtonVisit	Vai al sito web di QAP
lUpdateError	C'è stato un errore nell'accesso al numero di versione più recente. Ricerca aggiornamenti interrotta.
lUpdatePrompt	Aggiornare ~1~ dalla v~2~ alla v~3~?
lUpdatePromptBetaContinue	Vuoi continuare ad essere informato di future versioni beta?
lUpdateTitle	Aggiornare ~1~?
lUpdateYouHaveLatest	Hai la versione più recente: ~1~.`n`nVuoi visitare la pagina web ~2~ ugualmente?
lWindowIsTreeviewText	Mi spiace... A causa di una limitazione di  Windows, questo tipo di casella di dialogo (con vista ad albero) non è attualmente supportata da ~1~.
lWindowIsTreeviewTitle	Casella di Dialogo con vista ad albero non supportata
